"Type","Level","Offset","Size","Field Type","Field Name","Elt Type","Comment"
"abstract_building","0","0x0","0x8","struct-type","abstract_building","",""
"abstract_building","1","0x0","0x2","abstract_building_type","type","",""
"abstract_building","1","0x2","0x2","int16_t","param","","height/depth for ruins, unknown for others"
"abstract_building","1","0x4","0x4","int32_t","id","",""
"abstract_building_type","0","0x0","0x4","enum-type","abstract_building_type","",""
"abstract_building_type","1","","","enum-item","STORE_CRAFT","0",""
"abstract_building_type","1","","","enum-item","STORE_WEAPON","1",""
"abstract_building_type","1","","","enum-item","STORE_ARMOR","2",""
"abstract_building_type","1","","","enum-item","STORE_CLOTHING","3",""
"abstract_building_type","1","","","enum-item","STORE_FOOD","4",""
"abstract_building_type","1","","","enum-item","MEAD_HALL","5",""
"abstract_building_type","1","","","enum-item","KEEP","6",""
"abstract_building_type","1","","","enum-item","CAVE_RIVER","7",""
"abstract_building_type","1","","","enum-item","CAVE_MAGMA","8",""
"abstract_building_type","1","","","enum-item","RUIN_PILLARS","9",""
"abstract_building_type","1","","","enum-item","RUIN_PYRAMID","10",""
"abstract_building_type","1","","","enum-item","RUIN_TOWER","11",""
"abstract_building_type","1","","","enum-item","HOME_RANDOM","12",""
"abstract_building_type","1","","","enum-item","HOME_SINGLE","13",""
"abstract_building_type","1","","","enum-item","HOME_APARTMENT","14",""
"abstract_building_type","1","","","enum-item","HOME_APARTMENT_ROOM","15",""
"active_script_var_longst","0","0x0","0x18","class-type","active_script_var_longst","",""
"active_script_var_longst","1","0x0","0x14","active_script_varst","","",""
"active_script_var_longst","1","0x14","0x4","int32_t","value","",""
"active_script_var_unitst","0","0x0","0x18","class-type","active_script_var_unitst","",""
"active_script_var_unitst","1","0x0","0x14","active_script_varst","","",""
"active_script_var_unitst","1","0x14","0x4","pointer","unit","unit",""
"active_script_varst","0","0x0","0x14","class-type","active_script_varst","",""
"active_script_varst","1","0x0","0x4","pointer","_vtable","active_script_varst::vtable",""
"active_script_varst","1","0x4","0x10","stl-string","name","",""
"active_script_varst::vtable","1","0x0","0x4","vmethod(0/0)","setColor","",""
"active_script_varst::vtable","1","0x4","0x4","vmethod(2/8)","formatString","",""
"active_script_varst::vtable","1","0x8","0x4","vmethod(2/8)","getValue","",""
"active_script_varst::vtable","1","0xc","0x4","vmethod(1/4)","setValue","",""
"active_script_varst::vtable","1","0x10","0x4","vmethod(1/4)","removeUnit","",""
"active_script_varst::vtable","1","0x14","0x4","vmethod(1/4)","write_file","",""
