"Global","Level","Address","Size","Field Type","Field Name","Elt Type","Comment"
"cursor","0","0x789c1c","0xc","compound","cursor","",""
"cursor","1","0x789c1c","0x4","int32_t","cursor.x","",""
"cursor","1","0x789c20","0x4","int32_t","cursor.y","",""
"cursor","1","0x789c24","0x4","int32_t","cursor.z","",""
"selection_rect","0","0x789c28","0x18","compound","selection_rect","",""
"selection_rect","1","0x789c28","0x4","int32_t","selection_rect.start_x","",""
"selection_rect","1","0x789c2c","0x4","int32_t","selection_rect.start_y","",""
"selection_rect","1","0x789c30","0x4","int32_t","selection_rect.start_z","",""
"selection_rect","1","0x789c34","0x4","int32_t","selection_rect.end_x","","only valid for an instant while its being completed"
"selection_rect","1","0x789c38","0x4","int32_t","selection_rect.end_y","",""
"selection_rect","1","0x789c3c","0x4","int32_t","selection_rect.end_z","",""
"gamemode","0","0x789c40","0x4","game_mode","gamemode","",""
"gametype","0","0x789c44","0x4","game_type","gametype","",""
"standing_orders_gather_minerals","0","0x789c48","0x1","uint8_t","standing_orders_gather_minerals","",""
"standing_orders_gather_wood","0","0x789c49","0x1","uint8_t","standing_orders_gather_wood","",""
"standing_orders_gather_food","0","0x789c4a","0x1","uint8_t","standing_orders_gather_food","",""
"standing_orders_gather_bodies","0","0x789c4b","0x1","uint8_t","standing_orders_gather_bodies","",""
"standing_orders_gather_refuse","0","0x789c4c","0x1","uint8_t","standing_orders_gather_refuse","",""
"standing_orders_gather_animals","0","0x789c4d","0x1","uint8_t","standing_orders_gather_animals","",""
"standing_orders_gather_furniture","0","0x789c4e","0x1","uint8_t","standing_orders_gather_furniture","",""
"standing_orders_farmer_harvest","0","0x789c4f","0x1","uint8_t","standing_orders_farmer_harvest","",""
"standing_orders_auto_loom","0","0x789c50","0x1","uint8_t","standing_orders_auto_loom","",""
"standing_orders_auto_collect_webs","0","0x789c51","0x1","uint8_t","standing_orders_auto_collect_webs","",""
"standing_orders_auto_slaughter","0","0x789c52","0x1","uint8_t","standing_orders_auto_slaughter","",""
"standing_orders_auto_butcher","0","0x789c53","0x1","uint8_t","standing_orders_auto_butcher","",""
"standing_orders_auto_tan","0","0x789c54","0x1","uint8_t","standing_orders_auto_tan","",""
"ui_menu_width","0","0x789c60","0x1","int8_t","ui_menu_width","",""
"ui_area_map_width","0","0x789c61","0x1","int8_t","ui_area_map_width","",""
"standing_orders_job_cancel_announce","0","0x789c63","0x1","uint8_t","standing_orders_job_cancel_announce","",""
"standing_orders_mix_food","0","0x789c64","0x1","uint8_t","standing_orders_mix_food","",""
"enabler","0","0x7a59b8","0x9a0","struct-type","enabler","",""
"enabler","1","0x7a59b8","0x4","uint32_t","enabler.hInstance","",""
"enabler","1","0x7a59bc","0x4","uint32_t","enabler.className","",""
"enabler","1","0x7a59c0","0x30","compound","enabler.windowInfo","",""
"enabler","2","0x7a59c0","0x4","pointer","enabler.windowInfo","padding",""
"enabler","2","0x7a59c4","0x4","uint32_t","enabler.windowInfo.hWnd","",""
"enabler","2","0x7a59c8","0x4","uint32_t","enabler.windowInfo.hDC","",""
"enabler","2","0x7a59cc","0x4","uint32_t","enabler.windowInfo.HGLRC","",""
"enabler","2","0x7a59d0","0x4","pointer","enabler.windowInfo","padding",""
"enabler","2","0x7a59d4","0x4","uint32_t","enabler.windowInfo.lpWindowName","",""
"enabler","2","0x7a59d8","0x4","int32_t","enabler.windowInfo.dim_x","",""
"enabler","2","0x7a59dc","0x4","int32_t","enabler.windowInfo.dim_y","",""
"enabler","2","0x7a59e0","0x4","int32_t","enabler.windowInfo.bpp","",""
"enabler","2","0x7a59e4","0x4","int32_t","enabler.windowInfo.windowed","",""
"enabler","2","0x7a59e8","0x4","int32_t","enabler.windowInfo","",""
"enabler","2","0x7a59ec","0x4","int32_t","enabler.windowInfo","",""
"enabler","1","0x7a59f0","0x400","static-array","enabler","int32_t",""
"enabler","1","0x7a5df0","0x4","int32_t","enabler","",""
"enabler","1","0x7a5df4","0x1c","compound","enabler.MSG","",""
"enabler","2","0x7a5df4","0x4","uint32_t","enabler.MSG.hwnd","",""
"enabler","2","0x7a5df8","0x4","uint32_t","enabler.MSG.message","",""
"enabler","2","0x7a5dfc","0x4","uint32_t","enabler.MSG.wParam","",""
"enabler","2","0x7a5e00","0x4","uint32_t","enabler.MSG.lParam","",""
"enabler","2","0x7a5e04","0x4","uint32_t","enabler.MSG.time","",""
"enabler","2","0x7a5e08","0x8","compound","enabler.MSG.pt","",""
"enabler","3","0x7a5e08","0x4","int32_t","enabler.MSG.pt.x","",""
"enabler","3","0x7a5e0c","0x4","int32_t","enabler.MSG.pt.y","",""
"enabler","1","0x7a5e10","0x4","int32_t","enabler.desired_windowed_width","",""
"enabler","1","0x7a5e14","0x4","int32_t","enabler.desired_windowed_height","",""
"enabler","1","0x7a5e18","0x4","int32_t","enabler.desired_fullscreen_width","",""
"enabler","1","0x7a5e1c","0x4","int32_t","enabler.desired_fullscreen_height","",""
"enabler","1","0x7a5e20","0x4","bitfield","enabler.flag","",""
"enabler","2","0x7a5e20","0x0.1","flag-bit","enabler.flag.render","",""
"enabler","2","0x7a5e20.1","0x0.1","flag-bit","enabler.flag.maxfps","",""
"enabler","1","0x7a5e24","0x1","int8_t","enabler.tracking_on","",""
"enabler","1","0x7a5e28","0x10","stl-string","enabler.command_line","",""
"enabler","1","0x7a5e38","0x1","int8_t","enabler.create_full_screen","",""
"enabler","1","0x7a5e39","0x1","int8_t","enabler.inactive_mode","",""
"enabler","1","0x7a5e40","0x8","int64_t","enabler.qfpr","",""
"enabler","1","0x7a5e48","0x8","int64_t","enabler.main_qprate","",""
"enabler","1","0x7a5e50","0x8","int64_t","enabler.qprate","",""
"enabler","1","0x7a5e58","0x8","int64_t","enabler.qpc","",""
"enabler","1","0x7a5e60","0x8","int64_t","enabler.qpc2","",""
"enabler","1","0x7a5e68","0x4","int32_t","enabler","",""
"enabler","1","0x7a5e6c","0x4","int32_t","enabler.oldmouse_x","",""
"enabler","1","0x7a5e70","0x4","int32_t","enabler.oldmouse_y","",""
"enabler","1","0x7a5e74","0x4","int32_t","enabler.mouse_x","",""
"enabler","1","0x7a5e78","0x4","int32_t","enabler.mouse_y","",""
"enabler","1","0x7a5e7c","0x1","int8_t","enabler.mouse_lbut","",""
"enabler","1","0x7a5e7d","0x1","int8_t","enabler.mouse_rbut","",""
"enabler","1","0x7a5e7e","0x1","int8_t","enabler.mouse_lbut_lift","",""
"enabler","1","0x7a5e7f","0x1","int8_t","enabler.mouse_rbut_lift","",""
"enabler","1","0x7a5e80","0x10","stl-vector","enabler.file_info","padding",""
"enabler","1","0x7a5e90","0xc0","static-array","enabler.ccolor","enabler::anon2",""
"enabler","1","0x7a5f50","0x4","int32_t","enabler.window_x","",""
"enabler","1","0x7a5f54","0x4","int32_t","enabler.window_y","",""
"enabler","1","0x7a5f58","0x10","stl-vector","enabler.overlays","enabler::anon3*","used for mouse picture"
"enabler","1","0x7a5f68","0x4","int32_t","enabler","",""
"enabler","1","0x7a5f6c","0x4","int32_t","enabler","",""
"enabler","1","0x7a5f70","0x320","static-array","enabler.input_queue","enabler::anon4",""
"enabler","3","0x7a5f70","0x4","int32_t","enabler.input_queue[0].vKey","",""
